x,y,bool_1,bool_2,value,Seen
347.9566650390625,158.14361572265625,True,False,0.7958077788352966,True
354.2115173339844,137.97825622558594,True,False,0.8676061034202576,True
336.1071472167969,143.8311309814453,True,False,0.8135073184967041,True
346.0391845703125,136.15528869628906,True,False,0.706077516078949,True
326.02471923828125,87.97486877441406,True,False,0.6933086514472961,True
339.93377685546875,111.99514770507812,True,False,0.5735052824020386,True
347.95660400390625,158.14361572265625,True,False,0.7958936095237732,True
354.2115478515625,137.97813415527344,True,False,0.8676813840866089,True
336.1070861816406,143.830810546875,True,False,0.8135953545570374,True
346.03924560546875,136.155029296875,True,False,0.7061734795570374,True
326.0247802734375,87.97454833984375,True,False,0.6932047009468079,True
339.9333801269531,111.99584197998048,True,False,0.5734864473342896,True
333.9830627441406,164.20199584960938,True,False,0.5226452946662903,True
349.9549255371094,149.97866821289062,True,False,0.8470486402511597,True
329.9483642578125,147.87631225585938,True,False,0.8338391780853271,True
341.8969421386719,145.93276977539062,True,False,0.7628425359725952,True
328.1007080078125,91.90074157714844,True,False,0.8142271637916565,True
339.9487609863281,117.95327758789062,True,False,0.8156455755233765,True
315.6719665527344,162.094970703125,True,False,0.4590956568717956,True
0.0,0.0,True,False,0.0,True
321.9798583984375,151.9998016357422,True,False,0.5808150768280029,True
337.873779296875,148.1409149169922,True,False,0.2435306310653686,True
330.1081237792969,95.8460693359375,True,False,0.8365209102630615,True
339.91864013671875,122.00078582763672,True,False,0.7881885766983032,True
341.7948608398437,170.2455291748047,True,False,0.9483969807624816,True
349.9568786621094,155.99923706054688,True,False,0.9050095081329346,True
331.7562866210937,156.1243438720703,True,False,0.7677538394927979,True
340.1983337402344,152.02340698242188,True,False,0.8651964068412781,True
333.99932861328125,102.04388427734376,True,False,0.8934022784233093,True
339.78961181640625,128.10260009765625,True,False,0.852917492389679,True
336.17645263671875,172.28567504882812,True,False,0.9107994437217712,True
348.08135986328125,159.91012573242188,True,False,0.913680374622345,True
329.8887939453125,157.8339385986328,True,False,0.8636486530303955,True
339.99859619140625,154.04237365722656,True,False,0.905290186405182,True
335.99639892578125,104.02700805664062,True,False,0.8546391129493713,True
339.9259338378906,130.0836944580078,True,False,0.8902266025543213,True
331.97613525390625,173.84825134277344,True,False,0.906937301158905,True
345.9013061523437,162.01727294921875,True,False,0.915228009223938,True
327.8495178222656,156.1511688232422,True,False,0.8942021131515503,True
337.9923400878906,155.93048095703125,True,False,0.9204648733139038,True
338.03338623046875,104.2310791015625,True,False,0.7949574589729309,True
340.1959533691406,131.8873291015625,True,False,0.904907763004303,True
328.1767578125,173.9453125,True,False,0.8546350002288818,True
343.97772216796875,164.01478576660156,True,False,0.9155631065368652,True
326.0101928710937,157.86033630371094,True,False,0.922041952610016,True
336.2125549316406,157.8354034423828,True,False,0.9093148112297058,True
341.7590637207031,104.25377655029295,True,False,0.7447435855865479,True
342.00115966796875,131.91891479492188,True,False,0.8949273824691772,True
324.035888671875,173.7499237060547,True,False,0.8752570748329163,True
339.95587158203125,165.9368133544922,True,False,0.8564106822013855,True
